SnapDate,Srce,Province,PublishedDate,PropertyType,PropertyState,Bdroom,Bath,Parking,PriceUF,MtTot,UFxMt2,ValueScore,Score,Link
20200707,propiedades emol,Santiago,07/07/2020,Aparment,usada,3,2,0,4861,110.0,44,2200,452,https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-3-dormitorios-2-banos-codR76458549-6L0-1435.html
20200707,propiedades emol,Santiago,07/07/2020,Aparment,usada,4,3,0,5555,110.0,50,3080,554,https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-4-dormitorios-3-banos-codR76888194-4L0-102028679.html
20200707,propiedades emol,Santiago,07/07/2020,Aparment,nueva,4,2,0,4826,146.0,33,3504,726,https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-4-dormitorios-2-banos-codR76490091-kL0-72.html
20200707,propiedades emol,Santiago,07/02/2020,Aparment,usada,3,2,0,6597,118.0,55,2360,357,https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-3-dormitorios-2-banos-codR76917568-7L0-30.html
20200707,propiedades emol,Santiago,07/07/2020,Aparment,usada,4,3,0,5555,118.0,47,3304,594,https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-4-dormitorios-3-banos-codR76458549-6L0-1505.html
20200707,propiedades emol,Santiago,07/07/2020,Aparment,usada,3,2,0,4861,100.0,48,2000,411,https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-3-dormitorios-2-banos-codR99524100-5L0-102003224.html
20200707,propiedades emol,Santiago,07/07/2020,Aparment,usada,3,2,0,4585,110.0,41,2200,479,https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-3-dormitorios-2-banos-codR89036300-8L0-45482.html
20200707,propiedades emol,Santiago,07/07/2020,Aparment,usada,6,3,0,6500,150.0,43,5400,830,https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-6-dormitorios-3-banos-codR76105406-6L0-45427.html
20200707,propiedades emol,Santiago,07/07/2020,Aparment,usada,4,2,1,5500,104.0,52,2704,491,https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-4-dormitorios-2-banos-codR76545471-9L0-40259.html
20200707,propiedades emol,Santiago,07/07/2020,Aparment,usada,3,2,0,5240,100.0,52,2000,381,https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-3-dormitorios-2-banos-codR76063424-7L0-102035059.html
